,Asuminen,Palvelut,t
2022-01-10 14:00:00,952.9196194358975,2599.075085166804,-3551.9947046027014
2022-01-10 15:00:00,973.1945049558104,2568.3531574461563,-3541.5476624019666
2022-01-10 16:00:00,984.4583302446507,2580.641928534416,-3565.1002587790667
2022-01-10 17:00:00,1038.5246916310848,2506.909302004861,-3545.4339936359456
2022-01-10 18:00:00,1029.5136314000124,2470.0429887400833,-3499.5566201400957
2022-01-10 19:00:00,1047.535751862157,2408.599133298788,-3456.1348851609446
2022-01-10 20:00:00,1029.5136314000124,2402.4547477546585,-3431.968379154671
2022-01-10 21:00:00,973.1945049558104,2291.8558079603263,-3265.0503129161366
2022-01-10 22:00:00,934.897498973753,2125.957398268828,-3060.854897242581
2022-01-10 23:00:00,705.1154630814088,2021.5028440186254,-2726.618307100034
2022-01-11 00:00:00,672.1030026897599,2080.3925565740833,-2752.4955592638435
2022-01-11 01:00:00,672.1030026897599,2173.2672242782833,-2845.3702269680434
2022-01-11 02:00:00,665.291147932769,2315.67504809139,-2980.966196024159
2022-01-11 03:00:00,687.9973304560717,2340.4416261458437,-3028.4389566019154
2022-01-11 04:00:00,821.9638073435577,2742.898519530711,-3564.8623268742685
2022-01-11 05:00:00,1255.6518935386393,3417.7877715145655,-4673.439665053205
2022-01-11 06:00:00,1192.0745824733917,3275.3799477014586,-4467.45453017485
2022-01-11 07:00:00,1026.319450053282,3331.1047483239786,-4357.424198377261
2022-01-11 08:00:00,1039.9431595672636,3052.480745211378,-4092.4239047786414
2022-01-11 09:00:00,1021.7782135486215,2872.923054316591,-3894.7012678652122
2022-01-11 10:00:00,971.8246119973555,2798.623320153231,-3770.4479321505864
2022-01-11 11:00:00,1001.3426492776491,2643.8322073128975,-3645.1748565905464
2022-01-11 12:00:00,983.1777032590069,2588.107406690377,-3571.2851099493837
2022-01-11 13:00:00,971.8246119973555,2612.8739847448305,-3584.698596742186
2022-01-11 14:00:00,958.2009024833739,2662.407140853737,-3620.6080433371108
2022-01-11 15:00:00,978.6364667543463,2637.640562799284,-3616.27702955363
2022-01-11 16:00:00,989.9895580159977,2643.8322073128975,-3633.8217653288953
2022-01-11 17:00:00,1044.484396071924,2445.6995828772706,-3490.1839789491946
2022-01-11 18:00:00,1030.8606865579425,2365.208204200297,-3396.06889075824
2022-01-11 19:00:00,1051.296250828915,2309.4834035777767,-3360.7796544066914
2022-01-11 20:00:00,1035.4019230626031,2228.9920249008032,-3264.3939479634064
2022-01-11 21:00:00,978.6364667543463,2228.9920249008032,-3207.6284916551494
2022-01-11 22:00:00,942.3065747170621,2148.50064622383,-3090.807220940892
2022-01-11 23:00:00,715.2447494840351,2006.092822410723,-2721.337571894758
2022-01-12 00:00:00,607.3824385613939,1884.9715426300984,-2492.3539811914925
2022-01-12 01:00:00,605.2661234444554,1913.4454330021542,-2518.7115564466094
2022-01-12 02:00:00,601.0334932105781,2055.8148848624337,-2656.8483780730116
2022-01-12 03:00:00,624.3129594969031,2095.678331383312,-2719.9912908802153
2022-01-12 04:00:00,759.7571269809772,2534.176243112972,-3293.933370093949
2022-01-12 05:00:00,1183.0201503687078,2995.4532671402776,-4178.473417508985
2022-01-12 06:00:00,1094.1349154572845,3041.011491735567,-4135.146407192851
2022-01-12 07:00:00,965.0396933240266,3012.5376013635114,-3977.577294687538
2022-01-12 08:00:00,977.7375840256585,2796.136034535886,-3773.873618561545
2022-01-12 09:00:00,958.6907479732107,2653.7665826756074,-3612.4573306488182
2022-01-12 10:00:00,910.0155002836216,2585.429245782673,-3495.444746066295
2022-01-12 11:00:00,939.6439119207628,2465.8389062200386,-3405.482818140801
